Unidad Organizativa;Reporta A;Jerarquía;Línea de Reporte;Nivel Jerárquico Calculado;Unidades que Reportan Directamente;Responsable de Gestión de Otras;Nivel Funcional Esperado;Misión;Tipo de Función;Descripción;Producto Final;Porcentaje Dedicación;Nivel de Reporte;Reporta a;Unidad Superior;Fecha de Aprobación;% Dedicación
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;SGP Negocio > Segmento Personas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Genérica;Analizar comportamientos y necesidades del segmento. Identificar oportunidades de mejora. Proponer estrategias comerciales diferenciadas. Coordinar con áreas de producto, canales y marketing para su implementación.;Propuesta de Valor Integrada para Personas;;;;;;
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;SGP Negocio > Segmento Personas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Específica;Diseñar la propuesta de valor segmentada según perfiles de clientes personas.;Diseño de Propuesta de Valor por Subsegmento;20;;;;;
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;SGP Negocio > Segmento Personas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Específica;Relevar insights y propuestas de valor del mercado y de los clientes actuales.;Reporte de Insights y Benchmarking;20;;;;;
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;SGP Negocio > Segmento Personas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Específica;Coordinar la implementación de la propuesta en colaboración con áreas clave.;Plan de Implementación Coordinado;20;;;;;
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Estratégico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Genérica;Definir prioridades comerciales. Consolidar propuestas de valor. Coordinar ejecución con productos y canales.;Plan Estratégico Comercial del Segmento Personas;;;;;;
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;SGP Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Estratégico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Específica;Definir ejes comerciales prioritarios y segmentar público objetivo.;Matriz de Propuesta de Valor;20;;;;;
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;SGP Negocio > Segmento Personas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Específica;;;;;;;;
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;SGP Negocio > Segmento Personas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Específica;;;;;;;;
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;SGP Negocio > Segmento Personas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Indicador;Medir la efectividad de la propuesta de valor en términos de adopción por parte de los clientes personas;Indicador de Adopción de Propuesta de Valor;;;;;;
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;SGP Negocio > Segmento Personas > Estrategia Comercial Y Propuesta De Valor;3;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Indicador;Medir la satisfacción del cliente con la propuesta de valor implementada;Indicador de Satisfacción del Cliente;;;;;;
