Unidad Organizativa;Reporta A;Jerarquía;Línea de Reporte;Nivel Jerárquico Calculado;Unidades que Reportan Directamente;Responsable de Gestión de Otras;Nivel Funcional Esperado;Misión;Tipo de Función;Descripción;Producto Final;Porcentaje Dedicación
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Estrategia Comercial Y Propuesta De Valor;4.0;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Genérica;Analizar comportamientos y necesidades del segmento. Identificar oportunidades de mejora. Proponer estrategias comerciales diferenciadas. Coordinar con áreas de producto, canales y marketing para su implementación.;Propuesta de Valor Integrada para Personas;
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Estrategia Comercial Y Propuesta De Valor;4.0;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Específica;Diseñar la propuesta de valor segmentada según perfiles de clientes personas.;Diseño de Propuesta de Valor por Subsegmento;20
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Estrategia Comercial Y Propuesta De Valor;4.0;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Específica;Relevar insights y propuestas de valor del mercado y de los clientes actuales.;Reporte de Insights y Benchmarking;20
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;Sgp Negocio > Segmento Personas > Estrategia Comercial Y Propuesta De Valor;4.0;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Específica;Coordinar la implementación de la propuesta en colaboración con áreas clave.;Plan de Implementación Coordinado;20
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3.0;0;No;Estratégico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Genérica;Definir prioridades comerciales. Consolidar propuestas de valor. Coordinar ejecución con productos y canales.;Plan Estratégico Comercial del Segmento Personas;
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3.0;0;No;Estratégico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Específica;Definir ejes comerciales prioritarios y segmentar público objetivo.;Matriz de Propuesta de Valor;20
Estrategia Comercial Y Propuesta De Valor;Segmento Personas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;3.0;0;No;Estratégico;Diseñar, evaluar y actualizar la propuesta de valor para el Segmento Personas, asegurando su alineación con la estrategia comercial, los objetivos institucionales y la experiencia del cliente.;Específica;Definir mejoras en el posicionamiento del segmento y su integración en canales y productos.;Mapa de Posicionamiento Comercial;20
Estrategia Comercial Y Propuesta De Valor;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;4.0;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Genérica;Analizar segmentos del sector productivo, identificar necesidades financieras, evaluar propuestas comerciales y coordinar la implementación con productos, canales y regiones.;Propuesta de Valor Integrada para Empresas;
Estrategia Comercial Y Propuesta De Valor;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;4.0;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Específica;Diseñar propuestas de valor segmentadas para los distintos perfiles de clientes (PyMEs, grandes empresas, sector público, agro, etc.).;Propuesta de Valor Segmentada;12,5
Estrategia Comercial Y Propuesta De Valor;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;4.0;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Específica;Detectar oportunidades de innovación en productos y servicios financieros.;Informe de Innovación Comercial;12,5
Estrategia Comercial Y Propuesta De Valor;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;4.0;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Específica;Coordinar acciones comerciales con Marketing, Riesgos, Canales y Productos para asegurar coherencia.;Plan de Acción Comercial Coordinado;12,5
Estrategia Comercial Y Propuesta De Valor;Segmento Empresas;GD;Sgp Negocio > Segmento Empresas > Estrategia Comercial Y Propuesta De Valor;4.0;0;No;Táctico;Diseñar, evaluar y actualizar la propuesta de valor del Segmento Empresas, asegurando su alineación con la estrategia comercial del banco, los objetivos institucionales y la mejora continua de la experiencia del cliente, mediante el análisis de segmentos productivos, el diseño de soluciones comerciales innovadoras y la coordinación de acciones multicanal.;Genérica;Supervisar el alineamiento estratégico de las acciones comerciales con los objetivos institucionales.;Informe de Alineación Comercial Estratégica;
