Unidad Organizativa;Reporta A;Jerarquía;Línea de Reporte;Nivel Jerárquico Calculado;Unidades que Reportan Directamente;Responsable de Gestión de Otras;Nivel Funcional Esperado;Misión;Tipo de Función;Descripción;Producto Final;Porcentaje Dedicación
Sgp Negocios;Gerencia General;SGP;Sgp Negocios;1;8;Sí;Estratégico;Conducir la estrategia integral del negocio del banco, asegurando la definición, alineación y ejecución de la propuesta de valor para los distintos segmentos, canales, productos y servicios, garantizando una gestión centrada en el cliente, eficiente, innovadora y alineada a los objetivos institucionales.;Genérica;Definir y coordinar la implementación de la estrategia general del negocio del banco. Supervisar la ejecución de las políticas comerciales, de productos, canales y marketing. Asegurar la integración de las áreas de negocio bajo una visión común centrada en el cliente. Articular la colaboración de las unidades dependientes y asegurar coherencia operativa y estratégica.;Lineamientos estratégicos y conducción del área;
Sgp Negocios;Gerencia General;SGP;Sgp Negocios;1;8;Sí;Estratégico;Conducir la estrategia integral del negocio del banco, asegurando la definición, alineación y ejecución de la propuesta de valor para los distintos segmentos, canales, productos y servicios, garantizando una gestión centrada en el cliente, eficiente, innovadora y alineada a los objetivos institucionales.;Específica;Coordinar el diseño e implementación de los planes estratégicos de las áreas bajo su dependencia.;Plan de Negocios Estratégico Integrado;25
Sgp Negocios;Gerencia General;SGP;Sgp Negocios;1;8;Sí;Estratégico;Conducir la estrategia integral del negocio del banco, asegurando la definición, alineación y ejecución de la propuesta de valor para los distintos segmentos, canales, productos y servicios, garantizando una gestión centrada en el cliente, eficiente, innovadora y alineada a los objetivos institucionales.;Específica;Coordinar acciones comerciales inter-áreas para acompañar procesos de comercialización.;Apoyo en Acciones Comerciales;20
Sgp Negocios;Gerencia General;SGP;Sgp Negocios;1;8;Sí;Estratégico;Conducir la estrategia integral del negocio del banco, asegurando la definición, alineación y ejecución de la propuesta de valor para los distintos segmentos, canales, productos y servicios, garantizando una gestión centrada en el cliente, eficiente, innovadora y alineada a los objetivos institucionales.;Específica;Evaluar propuestas comerciales y analizar necesidades de clientes o segmentos estratégicos.;Análisis Comercial Estratégico;20
Sgp Negocios;Gerencia General;SGP;Sgp Negocios;1;8;Sí;Estratégico;Conducir la estrategia integral del negocio del banco, asegurando la definición, alineación y ejecución de la propuesta de valor para los distintos segmentos, canales, productos y servicios, garantizando una gestión centrada en el cliente, eficiente, innovadora y alineada a los objetivos institucionales.;Específica;Impulsar mejoras en procesos de comercialización a partir del feedback del negocio.;Procesos de Comercialización Mejorados;20
Sgp Negocios;Gerencia General;SGP;Sgp Negocios;1;8;Sí;Estratégico;Conducir la estrategia integral del negocio del banco, asegurando la definición, alineación y ejecución de la propuesta de valor para los distintos segmentos, canales, productos y servicios, garantizando una gestión centrada en el cliente, eficiente, innovadora y alineada a los objetivos institucionales.;Específica;Coordinar acciones estratégicas especiales definidas por la Gerencia General.;Actividades Especiales Ejecutadas;15
Segmento Personas;Sgp Negocios;SG;Sgp Negocio > Segmento Personas;2;4;Sí;Táctico-Estratégico;Desarrollar e implementar la propuesta de valor para el Segmento Personas, alineada con la estrategia del banco, promoviendo una oferta integral, segmentada y centrada en el cliente que impulse la vinculación, rentabilidad y satisfacción.;Genérica;Diseñar, implementar y coordinar la estrategia para el Segmento Personas, articulando las acciones de las unidades a cargo. Asegurar el cumplimiento de los objetivos comerciales, de rentabilidad y posicionamiento del banco. Monitorear el desempeño de productos, canales y servicios destinados al segmento y proponer mejoras.;Lineamientos estratégicos del Segmento Personas;
Segmento Personas;Sgp Negocios;SG;Sgp Negocio > Segmento Personas;2;4;Sí;Táctico-Estratégico;Desarrollar e implementar la propuesta de valor para el Segmento Personas, alineada con la estrategia del banco, promoviendo una oferta integral, segmentada y centrada en el cliente que impulse la vinculación, rentabilidad y satisfacción.;Específica;Definir e implementar la propuesta de valor del Segmento Personas.;Propuesta de Valor Segmento Personas;20
Segmento Personas;Sgp Negocios;SG;Sgp Negocio > Segmento Personas;2;4;Sí;Táctico-Estratégico;Desarrollar e implementar la propuesta de valor para el Segmento Personas, alineada con la estrategia del banco, promoviendo una oferta integral, segmentada y centrada en el cliente que impulse la vinculación, rentabilidad y satisfacción.;Específica;Coordinar el desarrollo y seguimiento del plan de negocios para el segmento.;Plan de Negocios del Segmento Personas;20
Segmento Personas;Sgp Negocios;SG;Sgp Negocio > Segmento Personas;2;4;Sí;Táctico-Estratégico;Desarrollar e implementar la propuesta de valor para el Segmento Personas, alineada con la estrategia del banco, promoviendo una oferta integral, segmentada y centrada en el cliente que impulse la vinculación, rentabilidad y satisfacción.;Específica;Supervisar la performance del segmento y coordinar acciones de mejora.;Informe de Performance y Ajustes;20
Segmento Personas;Sgp Negocios;SG;Sgp Negocio > Segmento Personas;2;4;Sí;Táctico-Estratégico;Desarrollar e implementar la propuesta de valor para el Segmento Personas, alineada con la estrategia del banco, promoviendo una oferta integral, segmentada y centrada en el cliente que impulse la vinculación, rentabilidad y satisfacción.;Específica;Proponer mejoras en la oferta de valor y la experiencia de los clientes del segmento.;Propuestas de Mejora para el Segmento;20
Segmento Personas;Sgp Negocios;SG;Sgp Negocio > Segmento Personas;2;4;Sí;Estratégico;Desarrollar e implementar la propuesta de valor para el Segmento Personas, alineada con la estrategia del banco, promoviendo una oferta integral, segmentada y centrada en el cliente que impulse la vinculación, rentabilidad y satisfacción.;Genérica;Definir objetivos comerciales del segmento y supervisar su implementación integral.;Estrategia Integral del Segmento Personas;
Segmento Personas;Sgp Negocios;SG;Sgp Negocio > Segmento Personas;2;4;Sí;Estratégico;Desarrollar e implementar la propuesta de valor para el Segmento Personas, alineada con la estrategia del banco, promoviendo una oferta integral, segmentada y centrada en el cliente que impulse la vinculación, rentabilidad y satisfacción.;Específica;Supervisar ejecución de las áreas bajo su órbita y evaluar impacto comercial.;Informes de Seguimiento Estratégico;20
Segmento Empresas;Sgp Negocios;SG;Sgp Negocio > Segmento Empresas;2;4;Sí;Táctico-Estratégico;Desarrollar e implementar la propuesta de valor para el Segmento Empresas, alineada con la estrategia del banco, promoviendo soluciones financieras integrales y servicios especializados que potencien el crecimiento, la inclusión y la sostenibilidad del sector productivo.;Genérica;Diseñar e implementar la estrategia comercial para el segmento empresas. Coordinar las acciones de desarrollo de productos, atención personalizada y mejora continua. Supervisar la ejecución y el desempeño del portafolio y proponer ajustes.;Lineamientos Estratégicos del Segmento Empresas;
Segmento Empresas;Sgp Negocios;SG;Sgp Negocio > Segmento Empresas;2;4;Sí;Táctico-Estratégico;Desarrollar e implementar la propuesta de valor para el Segmento Empresas, alineada con la estrategia del banco, promoviendo soluciones financieras integrales y servicios especializados que potencien el crecimiento, la inclusión y la sostenibilidad del sector productivo.;Específica;Desarrollar y coordinar la implementación de la propuesta de valor para empresas.;Propuesta de Valor Segmento Empresas;20
Segmento Empresas;Sgp Negocios;SG;Sgp Negocio > Segmento Empresas;2;4;Sí;Táctico-Estratégico;Desarrollar e implementar la propuesta de valor para el Segmento Empresas, alineada con la estrategia del banco, promoviendo soluciones financieras integrales y servicios especializados que potencien el crecimiento, la inclusión y la sostenibilidad del sector productivo.;Específica;Elaborar y ejecutar el plan de negocios para el segmento empresas.;Plan de Negocios del Segmento Empresas;20
Segmento Empresas;Sgp Negocios;SG;Sgp Negocio > Segmento Empresas;2;4;Sí;Táctico-Estratégico;Desarrollar e implementar la propuesta de valor para el Segmento Empresas, alineada con la estrategia del banco, promoviendo soluciones financieras integrales y servicios especializados que potencien el crecimiento, la inclusión y la sostenibilidad del sector productivo.;Específica;Monitorear y analizar el desempeño comercial del segmento y proponer ajustes.;Informe de Performance y Acciones Correctivas;20
Segmento Empresas;Sgp Negocios;SG;Sgp Negocio > Segmento Empresas;2;4;Sí;Táctico-Estratégico;Desarrollar e implementar la propuesta de valor para el Segmento Empresas, alineada con la estrategia del banco, promoviendo soluciones financieras integrales y servicios especializados que potencien el crecimiento, la inclusión y la sostenibilidad del sector productivo.;Específica;Gestionar propuestas de mejora y productos diferenciados para empresas.;Propuestas de Valor Agregado;20
Segmento Empresas;Sgp Negocios;SG;Sgp Negocio > Segmento Empresas;2;4;Sí;Estratégico;Desarrollar e implementar la propuesta de valor para el Segmento Empresas, alineada con la estrategia del banco, promoviendo soluciones financieras integrales y servicios especializados que potencien el crecimiento, la inclusión y la sostenibilidad del sector productivo.;Genérica;Diseñar propuestas de valor diferenciadas para subsegmentos empresariales.;Estrategia Integral del Segmento Empresas;
Segmento Empresas;Sgp Negocios;SG;Sgp Negocio > Segmento Empresas;2;4;Sí;Estratégico;Desarrollar e implementar la propuesta de valor para el Segmento Empresas, alineada con la estrategia del banco, promoviendo soluciones financieras integrales y servicios especializados que potencien el crecimiento, la inclusión y la sostenibilidad del sector productivo.;Específica;Monitorear resultados comerciales e impulsar acciones de mejora continua.;Reporte Estratégico de Empresas;20
Productos;Sgp Negocios;GD;Sgp Negocio > Productos;3;4;Sí;Táctico;Diseñar, desarrollar y gestionar el portafolio de productos financieros para personas y empresas, asegurando su alineación con la estrategia del banco, la experiencia del cliente, la rentabilidad y la sostenibilidad del negocio.;Genérica;Coordinar el desarrollo de productos activos, pasivos, inversiones y seguros. Supervisar la evolución del portafolio, identificar oportunidades de mejora y colaborar con las áreas comerciales para su implementación.;Portafolio Integral de Productos Financieros;
Productos;Sgp Negocios;GD;Sgp Negocio > Productos;3;4;Sí;Táctico;Diseñar, desarrollar y gestionar el portafolio de productos financieros para personas y empresas, asegurando su alineación con la estrategia del banco, la experiencia del cliente, la rentabilidad y la sostenibilidad del negocio.;Específica;Diseñar y gestionar productos activos adecuados a las necesidades del mercado.;Productos de Crédito Activo;20
Productos;Sgp Negocios;GD;Sgp Negocio > Productos;3;4;Sí;Táctico;Diseñar, desarrollar y gestionar el portafolio de productos financieros para personas y empresas, asegurando su alineación con la estrategia del banco, la experiencia del cliente, la rentabilidad y la sostenibilidad del negocio.;Específica;Desarrollar productos pasivos que fortalezcan la captación de fondos.;Productos de Captación (Pasivos);20
Productos;Sgp Negocios;GD;Sgp Negocio > Productos;3;4;Sí;Táctico;Diseñar, desarrollar y gestionar el portafolio de productos financieros para personas y empresas, asegurando su alineación con la estrategia del banco, la experiencia del cliente, la rentabilidad y la sostenibilidad del negocio.;Específica;Gestionar y optimizar el portafolio de productos de inversión.;Productos de Inversión;20
Productos;Sgp Negocios;GD;Sgp Negocio > Productos;3;4;Sí;Táctico;Diseñar, desarrollar y gestionar el portafolio de productos financieros para personas y empresas, asegurando su alineación con la estrategia del banco, la experiencia del cliente, la rentabilidad y la sostenibilidad del negocio.;Específica;Diseñar productos de seguros en coordinación con alianzas estratégicas.;Productos de Seguros;20
Productos;Sgp Negocios;GD;Sgp Negocio > Productos;3;4;Sí;Estratégico;Diseñar, desarrollar y gestionar el portafolio de productos financieros para personas y empresas, asegurando su alineación con la estrategia del banco, la experiencia del cliente, la rentabilidad y la sostenibilidad del negocio.;Genérica;Supervisar y coordinar las subunidades de productos pasivos, activos, seguros e inversiones.;Portafolio de Productos Integrado;
Productos;Sgp Negocios;GD;Sgp Negocio > Productos;3;4;Sí;Estratégico;Diseñar, desarrollar y gestionar el portafolio de productos financieros para personas y empresas, asegurando su alineación con la estrategia del banco, la experiencia del cliente, la rentabilidad y la sostenibilidad del negocio.;Específica;Asegurar la coordinación transversal de las soluciones y propuestas de valor del área.;Estrategia Consolidada de Productos;20
